facet	hue	bin_center	mean_density	error	n_seeds
cross	3	4.672763e-05	0.000000e+00	0.000000e+00	100
cross	3	4.725643e-05	0.000000e+00	0.000000e+00	100
cross	3	4.779121e-05	0.000000e+00	0.000000e+00	100
cross	3	4.833205e-05	0.000000e+00	0.000000e+00	100
cross	3	4.887900e-05	0.000000e+00	0.000000e+00	100
cross	3	4.943214e-05	0.000000e+00	0.000000e+00	100
cross	3	4.999155e-05	0.000000e+00	0.000000e+00	100
cross	3	5.055728e-05	0.000000e+00	0.000000e+00	100
cross	3	5.112942e-05	0.000000e+00	0.000000e+00	100
cross	3	5.170803e-05	0.000000e+00	0.000000e+00	100
cross	3	5.229319e-05	0.000000e+00	0.000000e+00	100
cross	3	5.288497e-05	0.000000e+00	0.000000e+00	100
cross	3	5.348344e-05	0.000000e+00	0.000000e+00	100
cross	3	5.408869e-05	0.000000e+00	0.000000e+00	100
cross	3	5.470079e-05	0.000000e+00	0.000000e+00	100
cross	3	5.531982e-05	0.000000e+00	0.000000e+00	100
